uuid,category,j2j,j2b,b2b,iou,precision,recall,infer_time,gt_joints,gt_bones,pred_joints,pred_bones
7e00113b-0a31-50d6-b4b1-d8ae25f74392,character,0.014190673828125,0.009317463158565355,0.010320441007646956,1.0,1.0,1.0,11.703824758529663,51,50,54,53
b3234635-0797-53cd-8e88-d8717986ad74,anthropomorphic,0.0081329345703125,0.004872993440564643,0.0048516367741164934,1.0,1.0,1.0,9.955806970596313,52,51,52,51
8de1103f-2ffa-56c4-a288-ea693354aa9f,character,0.0116424560546875,0.006963337509921012,0.00692543277405901,1.0,1.0,1.0,10.69085431098938,52,51,52,51
15b2fcc8-3115-50e7-b201-d73f4e71b4f1,"character, scanned data",0.0087890625,0.006522098102733787,0.0065161630530623585,1.0,1.0,1.0,10.773210763931274,52,51,52,51
e45edd83-7d6c-5543-9be3-6b3e5b000437,character,0.012542724609375,0.010418602391738176,0.009426594199694023,1.0,1.0,1.0,7.5683979988098145,28,27,34,33
12336c5f-c7eb-5ec3-90c2-02eaabf13d27,character,0.0101470947265625,0.0074515682154045314,0.007143911769806993,1.0,1.0,1.0,9.346481084823608,52,51,52,51
756c18bd-dbaf-5c90-af80-8f863c93866a,animal,0.00908660888671875,0.00762854051128674,0.007003221977541985,1.0,1.0,1.0,4.135758399963379,24,23,24,23
27aee8b1-6ff3-5b4b-a4c5-8a2737561b05,character,0.0088958740234375,0.007091801040484692,0.006578950986878619,1.0,1.0,1.0,9.361557245254517,52,51,52,51
85740504-ac04-5951-8d10-f37e53864f64,electronic device,0.1572265625,0.1051875044997421,0.12448869568139029,0.07692307692307693,0.3333333333333333,0.09090909090909091,0.46120405197143555,11,10,3,2
dd966820-2789-5aa1-a5f4-ac03fbf49aa7,"mythical creature, anthropomorphic",0.0166015625,0.015121504463100975,0.014315575477345736,1.0,1.0,1.0,5.34635853767395,30,29,30,29
e52fec83-ed7c-536a-a024-22eb20620280,"character, anthropomorphic",0.03143310546875,0.023548737546316638,0.01528254753432397,0.4878048780487805,0.9090909090909091,0.6346153846153846,4.309574365615845,52,51,22,21
761b7bf7-d535-57b0-9618-daf890258beb,"character, anthropomorphic",0.015716552734375,0.010521523645428748,0.010018886841129698,0.9433962264150944,0.9615384615384616,0.9807692307692307,9.878329753875732,52,51,52,51
e1eb6075-8910-5cb1-b01c-0e8538263f19,"character, scanned data",0.0126800537109375,0.008566879959769316,0.007884321101597584,1.0,1.0,1.0,9.58791708946228,52,51,52,51
5d13f068-038b-5caf-a0ad-82d76193bb35,character,0.0111083984375,0.007260470290689361,0.007169614770715326,1.0,1.0,1.0,9.898500442504883,52,51,52,51
1cd5b75e-5348-55a5-9deb-3e081250b2fc,character,0.007049560546875,0.005687303438229126,0.005035238170794162,1.0,1.0,1.0,10.108804941177368,52,51,52,51
37e2c395-608c-5ef2-88ae-df0ee6178b2b,"character, anthropomorphic",0.012603759765625,0.010104341296168301,0.01031503916356477,1.0,1.0,1.0,7.216519355773926,42,41,42,41
e0c0452f-54b5-5dd8-abc3-2c0e944ec15e,anthropomorphic,0.0360107421875,0.028577818144545325,0.023628983590224438,0.6363636363636364,0.7777777777777778,0.7857142857142857,5.30675482749939,28,27,27,26
6f97a287-da2c-5d95-bd3c-70f8b6305da3,"toy, anthropomorphic",0.02777099609375,0.017686669525006183,0.023438661012687784,0.7586206896551724,0.9166666666666666,0.8529411764705882,4.294757604598999,34,33,24,23
6c064a52-030d-56ac-9c10-1ddce7582f7b,animal,0.037261962890625,0.025907305224411127,0.02203756712886152,0.5531914893617021,0.6666666666666666,0.7894736842105263,7.559660196304321,38,37,39,38
8daca06a-6b5c-5220-9f45-7cea7a19b62d,animal,0.1141357421875,0.10033722487866711,0.07739140191585929,0.16666666666666666,0.2682926829268293,0.375,7.6829893589019775,24,23,41,40
80c5fc7e-3791-5a73-ab5e-82a4dbf635dd,"character, anthropomorphic",0.008331298828125,0.006108934718795266,0.005209499849095562,1.0,1.0,1.0,9.626680135726929,52,51,52,51
eedbf46f-97d6-5559-bbf6-edfec8d6fb6e,"character, scanned data",0.01666259765625,0.011425141460677125,0.011401813063304202,0.875,0.9285714285714286,0.9423076923076923,10.040760517120361,52,51,56,55
e2cc6249-ff3b-598d-84b2-d85affaa4c59,"mythical creature, anatomy",0.02978515625,0.026579714855888316,0.022887476714865993,0.7333333333333333,0.9166666666666666,0.7857142857142857,2.389561891555786,14,13,12,11
916674f6-7b1d-5f0e-a562-8c27ed4cd4f9,character,0.0093231201171875,0.0070163841393719,0.0075438508452210515,1.0,1.0,1.0,9.490067720413208,52,51,52,51
fc5a25f2-ecbe-5b52-ab25-037ca547a893,"character, anthropomorphic",0.0155029296875,0.009814681405107373,0.010141254229500556,0.8888888888888888,0.9615384615384616,0.9230769230769231,10.506344079971313,52,51,52,51
55602a88-ff5d-507b-bdc9-fd7a03b046af,character,0.005985260009765625,0.004908460302895538,0.0044884763686451525,1.0,1.0,1.0,7.4507737159729,40,39,40,39
8dbe0387-aa66-54b5-9c42-e81af7caa6ae,"character, anthropomorphic",0.0194549560546875,0.01191547950054712,0.01116792330284428,1.0,1.0,1.0,4.985507488250732,34,33,28,27
08e4d408-f99d-590d-a6c6-aa78644b5429,electronic device,0.029052734375,0.009012208530610301,0.00805558042197542,0.6363636363636364,1.0,0.6363636363636364,1.839069128036499,11,10,9,8
dd30afa7-58d7-5a8a-beb1-50444867e243,"anthropomorphic, toy",0.011871337890625,0.0076272607947770465,0.0074720464201227955,1.0,1.0,1.0,9.581607103347778,52,51,52,51
7baedcf7-a499-55a3-97e5-aa50dce00c05,"animal, anthropomorphic",0.009979248046875,0.008704191594143262,0.008515740101181925,1.0,1.0,1.0,6.296461820602417,33,32,33,32
5e7a9a49-19c9-5440-abcb-b56e3e315dce,character,0.0131378173828125,0.010013399886799277,0.011619135477488475,0.9811320754716981,1.0,0.9814814814814815,9.818327188491821,54,53,52,51
9f25f5f5-557f-5fc2-aeff-a4927ad05963,"character, anthropomorphic",0.00702667236328125,0.004755140413394709,0.004469499298761814,1.0,1.0,1.0,4.865501403808594,28,27,28,27
5f7e1265-fb3f-5f1e-9170-1bebbb85fa3c,character,0.0050811767578125,0.004085917959493127,0.003894981184908078,1.0,1.0,1.0,10.683295726776123,55,54,55,54
5650efa1-abbe-50ee-8fe7-b729e40756b7,anthropomorphic,0.0093231201171875,0.00624950032438047,0.006598803567321444,1.0,1.0,1.0,9.596384048461914,52,51,52,51
e7707386-2e82-554b-8075-20e6d1953b42,household item,0.2054443359375,0.12579104435196492,0.10135409273371426,0.022222222222222223,0.16,0.3333333333333333,9.115887641906738,3,2,50,49
0f023f60-3fc5-5bb6-8d97-8871cc75273d,"character, anthropomorphic",0.016021728515625,0.01161672987448896,0.009399410075252902,1.0,1.0,1.0,5.956176519393921,52,51,29,28
